Campo,Significado,Tipo,Exemplo,Observação / problema
step,"Representa uma unidade de tempo no mundo real, onde 1 step equivale a 1 hora de simulação.",Inteiro,1,"Variável temporal discreta. A simulação total cobre 744 steps (30 dias). Não apresenta nulos, mas exige mapeamento para ciclicidade horária."
type,Tipo de operação financeira executada na transação móvel.,Categórico (String),TRANSFER,"Valores possíveis: CASH-IN, CASH-OUT, DEBIT, PAYMENT e TRANSFER. Fraudes ocorrem quase exclusivamente nas operações de TRANSFER e CASH-OUT."
amount,Valor monetário líquido da transação financeira na moeda local.,Decimal (Float),181.00,Não possui valores ausentes. Valores superiores a 200.000 em operações TRANSFER ativam a sinalização estática do sistema legado (isFlaggedFraud).
nameOrig,Identificador único do cliente que iniciou/originou a transação financeira.,Texto (String),C1305486145,Chave de identificação. Geralmente inicia com o caractere 'C' (Cliente). Não possui valores ausentes ou duplicidades irregulares.
oldbalanceOrg,Saldo inicial da conta de origem antes de a transação financeira ser realizada.,Decimal (Float),170136.00,"Alerta de qualidade: Conforme documentação do PaySim, saldos de transações marcadas como fraudulentas são anulados na base real, o que pode gerar viés de sobrevivência."
newbalanceOrig,Novo saldo da conta de origem após a conclusão da transação financeira.,Decimal (Float),160296.36,"Alerta de qualidade: Conforme a documentação do PaySim, saldos de transações identificadas como fraudulentas são anulados. Deve ser tratado com cautela em modelagem."
nameDest,Identificador único do destinatário (recebedor) da transação financeira.,Texto (String),M1979787155,"Se iniciar com a letra 'M', indica que o recebedor é um Comerciante (Merchant). Útil para criação de variáveis de perfil."
oldbalanceDest,Saldo inicial da conta do destinatário antes de a transação ser realizada.,Decimal (Float),0.00,"Alerta de qualidade: Informação de saldo não é aplicável/disponível para comerciantes (destinatários iniciados com 'M'), resultando em valores fixados em 0.00."
newbalanceDest,Novo saldo da conta do destinatário após a conclusão da transação.,Decimal (Float),0.00,"Alerta de qualidade: Informação de saldo não é aplicável/disponível para comerciantes (destinatários iniciados com 'M'), resultando em valores fixados em 0.00."
isFraud,Identifica se a transação financeira foi de fato realizada por um agente fraudulento.,Binário (0 ou 1),1,Variável-Alvo (Target). Identifica tentativas de esvaziamento de contas legítimas via transferências seguidas de saques (CASH-OUT). Altamente desbalanceada.
isFlaggedFraud,Sinaliza se a transação foi sinalizada como tentativa de fraude pelo sistema de regras legado.,Binário (0 ou 1),0,Baseado em regra estática de negócio: sinaliza qualquer tentativa de transferência ('TRANSFER') única com valor superior a 200.000 na moeda local.
